T50,T90,Epk_bisector
0.266,0.642,984.0111058
53.95,60.22,216.7704105
8.704,33.06,290.4022654
4.48,13.95,183.6538343
59.07,83.01,693.425806
0.896,1.408,334.9654392
0.208,0.416,656.1452663
3.648,26.4,91.83325965
11.04,17.44,163.3051948
5.44,14.94,130.3166778
0.138,0.266,267.9168325
7.36,19.9,39.71915495
9.28,29.82,236.5919697
49.41,88.86,189.6705921
7.936,26.82,102.0939484
6.528,19.2,272.8977783
35.58,59.07,868.9604293
3.648,13.57,141.579378
99.84,151.5,68.07693587
0.512,1.6,229.0867653
0.623,1.439,920.4495718
9.152,23.26,51.40436516
482,589.5,246.0367604
1.536,21.02,98.40111058
40.58,57.89,55.71857489
16.96,59.07,563.6376558
1.664,6.08,188.3649089
0.608,1.824,564.9369748
5.12,16.9,152.4052754
1.216,3.52,179.8870915
50.24,90.18,242.1029047
112.9,142,308.318795
4.224,13.18,118.5768748
0.08,0.228,179.8870915
0.256,0.704,325.0872974
0.296,0.776,168.6553025
27.84,57.09,118.3041556
6.016,26.5,180.7174126
3.84,11.87,210.377844
5.312,19.42,217.7709772
6.528,10.56,248.8857318
24.83,68.9,502.3425895
162.9,204.4,239.8832919
40.42,85.22,45.81418867
0.036,0.076,1244.514612
0.076,0.176,2371.373706
33.09,70.24,562.3413252
40.86,59.23,52.11947111
0.192,0.384,279.898132
0.168,0.536,216.7704105
3.52,12.64,94.84184633
0.32,1.301,1315.224832
0.08,0.56,688.6522963
0.08,0.32,712.8530301
57.6,97.34,45.91980128
0.256,0.448,2084.490883
24.38,84.35,100.9252886
0.176,0.535,542.0008904
9.472,72.58,185.7804455
118,134.5,177.0108958
9.44,51.1,48.86523593
0.416,0.544,626.6138647
30.85,132.3,177.0108958
54.37,107.4,158.1248039
0.052,0.219,85.11380382
4.16,11.07,123.8796587
3.008,11.33,74.64487584
0.064,0.16,112.7197456
21.44,65.73,177.0108958
0.112,0.336,1196.740531
3.392,22.05,76.73614894
0.048,0.096,147.9108388
9.6,22.02,69.66265141
12.38,30.75,137.4041975
9.28,30.08,144.2115352
2.88,5.696,285.7590543
0.044,0.076,769.1304403
2.432,5.44,50.23425895
0.624,3.234,105.9253725
1.92,6.784,45.70881896
15.74,54.98,65.91738952
1.609,4.169,81.4704284
12.16,50.53,164.0589773
39.81,91.26,200.4472027
13.18,31.49,724.4359601
35.33,51.2,1091.440336
1.024,4.224,327.3406949
0.299,0.939,758.577575
0.128,0.128,367.2823005
2.752,8.64,139.9587323
2.688,8.448,170.6082389
8.128,44.1,244.9063242
1.728,8.384,53.95106225
4.8,30.88,87.49837752
10.56,12.48,181.5515663
0.176,1.736,629.5061829
0.028,0.06,688.6522963
5.184,12.22,89.74287945
3.712,41.47,190.9853259
1.664,3.904,116.4126029
12.74,35.65,125.6029964
0.752,1.483,407.3802778
0.384,0.768,219.7859873
13.18,44.38,217.2701179
48.38,86.72,67.60829754
12.35,43.52,76.73614894
0.128,0.192,812.8305162
