Results from heasarc_batsegrb: CGRO/BATSE Gamma-Ray Burst Catalog
Coordinate system:  Equatorial
 trigger_num t90      fluence_1  fluence_2  fluence_3  fluence_4  
       01665    0.192 7.9047e-09 1.5209e-08 1.1957e-07 9.6683e-07 
       06413    6.528 5.0519e-07 4.9568e-07 4.8240e-07 6.5752e-07 
       02430   28.096 5.3969e-07 4.9371e-07 1.1703e-06 1.0699e-06 
       02877  114.112 2.6864e-06 3.6455e-06 7.5932e-06 0.0000e+00 
       07607   70.656 3.0148e-06 1.9060e-06 1.9300e-06 8.5499e-06 
       01709    3.456 1.1689e-06 1.9735e-06 5.1768e-06 2.3273e-06 
       02419   76.256 7.4022e-08 2.8983e-07 1.2306e-06 1.4638e-06 
       03652 NaN 4.7884e-07 4.1708e-07 1.1488e-06 9.5842e-07 
       02107 NaN NaN NaN NaN NaN 
       01646  129.024 3.9819e-07 4.5802e-07 1.0098e-06 0.0000e+00 
       03366 NaN 2.7710e-06 2.6004e-06 2.1850e-06 5.6034e-06 
       06565 NaN NaN NaN NaN NaN 
       01544 NaN NaN NaN NaN NaN 
       02320    0.608 7.6745e-08 1.4104e-07 5.4185e-07 1.0273e-06 
       06361    0.901 5.0878e-09 8.8490e-09 3.3528e-08 1.8026e-07 
       02448    0.768 1.3438e-09 1.6290e-08 1.7054e-07 5.7825e-07 
       02102   11.520 4.4562e-07 4.6588e-07 1.4046e-06 1.4895e-07 
       01996 NaN NaN NaN NaN NaN 
       03415   54.336 4.0834e-06 4.8589e-06 1.2501e-05 1.0295e-05 
       07845   81.344 2.2437e-07 5.4257e-07 2.9245e-06 1.0749e-05 
       06757    2.432 3.7968e-08 6.7822e-08 2.7807e-07 7.4324e-07 
       05527    0.820 4.1433e-08 7.5466e-08 7.9500e-07 5.8279e-06 
       01525 NaN NaN NaN NaN NaN 
       03319  206.272 8.1805e-08 1.7383e-07 5.7123e-07 5.5642e-07 
       06609 NaN NaN NaN NaN NaN 
       02539 NaN NaN NaN NaN NaN 
       05304   22.784 3.5485e-06 6.9442e-06 2.5872e-05 4.1926e-05 
       06109   55.296 NaN NaN NaN NaN 
       07667 NaN NaN NaN NaN NaN 
       07843  102.272 1.0017e-06 9.9718e-07 2.8911e-06 1.6493e-06 
       06299    0.202 2.0443e-08 2.7070e-08 9.3573e-08 7.2495e-08 
       05647    1.088 7.3526e-09 2.1125e-08 1.9400e-07 2.0006e-06 
       07030   47.744 3.2088e-07 3.8862e-07 9.6417e-07 3.2465e-07 
       02996   50.848 9.0338e-07 6.7275e-07 7.5761e-07 2.6523e-06 
       03308    0.512 1.5665e-08 1.0687e-08 4.7420e-08 2.2668e-07 
       01279   37.760 3.2859e-07 4.2626e-07 8.0718e-07 2.7354e-07 
       05478  296.960 1.3888e-06 2.1314e-06 5.8728e-06 2.3373e-06 
       07063    0.128 1.4973e-08 2.2415e-08 2.1389e-07 1.1609e-06 
       06657   42.368 9.2346e-07 1.2281e-06 2.5087e-06 8.6787e-07 
       05753 NaN NaN NaN NaN NaN 
       03634  142.048 2.5291e-06 2.6416e-06 1.0621e-05 2.6485e-05 
       05729   52.992 3.3318e-06 3.3768e-06 6.4036e-06 6.0933e-06 
       07635  124.160 6.3506e-07 7.7125e-07 3.6207e-06 2.4794e-06 
       05693  355.072 NaN NaN NaN NaN 
       07656   60.096 5.5828e-08 9.5258e-08 8.1046e-07 5.1699e-06 
       00472   82.176 9.1455e-07 1.0918e-06 1.9800e-06 0.0000e+00 
       00606   20.736 3.6091e-07 4.9968e-07 1.3476e-06 9.2233e-07 
       03803    0.015 NaN NaN NaN NaN 
       07650 NaN NaN NaN NaN NaN 
       06157   10.240 NaN NaN NaN NaN 
       02067   30.848 4.2284e-06 9.5794e-06 4.3827e-05 3.2359e-05 
       01153    9.024 1.0349e-07 1.1463e-07 1.6737e-07 0.0000e+00 
       06707   34.880 8.4439e-07 8.0990e-07 1.6655e-06 6.8699e-07 
       06433    0.192 NaN NaN NaN NaN 
       00142 NaN 4.5110e-07 1.3259e-06 4.3792e-06 1.4688e-06 
       06585   17.536 7.9774e-07 5.6236e-07 1.3782e-06 8.4103e-07 
       05648   40.448 1.9766e-06 2.0511e-06 4.4113e-06 0.0000e+00 
       07430    3.904 7.0541e-08 7.5234e-08 3.6607e-07 2.5449e-07 
       06602   39.680 3.1695e-07 3.9153e-07 1.6007e-06 7.4134e-06 
       07227    0.092 5.0362e-09 1.1659e-08 8.0677e-08 8.7616e-08 
       07191   44.928 2.1423e-08 1.8076e-08 1.2317e-07 1.0269e-07 
       06125 1307.010 NaN NaN NaN NaN 
       02232   56.512 1.0116e-06 1.4524e-06 4.9951e-06 4.6289e-06 
       03770    0.544 1.3452e-08 4.0228e-08 2.8123e-07 7.1021e-07 
       06784 NaN NaN NaN NaN NaN 
       03227  115.328 6.0311e-06 9.4723e-06 3.2147e-05 5.4334e-05 
       05562    0.160 3.8654e-09 9.3716e-09 9.0508e-08 2.6384e-07 
       06802   31.296 3.3560e-07 4.3373e-07 1.0025e-06 1.4600e-06 
       07975 NaN NaN NaN NaN NaN 
       02716 NaN NaN NaN NaN NaN 
       02090   38.144 1.4959e-06 2.1015e-06 6.8052e-06 5.4711e-06 
       06528   15.680 5.6496e-07 8.6127e-07 2.5507e-06 1.7112e-06 
       01614  215.040 3.9550e-07 9.1477e-07 2.1809e-06 1.0643e-06 
       02496   36.512 4.3327e-08 4.3780e-08 2.6184e-07 0.0000e+00 
       01872 NaN NaN NaN NaN NaN 
       07292    0.262 1.2017e-08 1.8008e-08 1.6684e-07 5.5945e-08 
       06349   82.688 1.7353e-06 1.9329e-06 8.3932e-06 4.4195e-05 
       01430 NaN 1.0724e-07 6.4856e-08 7.9055e-08 8.0096e-08 
       05451   24.512 9.8408e-07 1.4155e-06 4.2462e-06 1.8423e-06 
       01042   25.024 5.8903e-07 7.2869e-07 7.2291e-07 0.0000e+00 
       00630   18.176 2.1018e-07 3.5068e-07 6.2958e-07 0.0000e+00 
       03796 NaN NaN NaN NaN NaN 
       01321 NaN 1.8994e-06 2.9714e-06 4.4183e-06 4.0049e-06 
       01453    0.192 2.8979e-08 6.0954e-08 4.0690e-07 6.8756e-07 
       03379    0.608 1.9221e-08 2.9937e-08 1.8026e-07 1.7756e-07 
       00219   29.696 3.0342e-06 4.2219e-06 1.0534e-05 1.4797e-05 
       00229    0.448 4.4308e-09 1.1202e-08 5.4209e-08 6.6156e-08 
       02663   12.224 2.9014e-07 4.5938e-07 9.1444e-07 0.0000e+00 
       02443   28.896 7.0575e-07 1.4140e-06 4.1455e-06 8.1114e-06 
       01204    3.712 4.9451e-08 1.0667e-07 2.4524e-07 8.8720e-08 
       05561    0.104 8.1475e-08 1.1974e-07 2.2166e-07 2.5711e-08 
       06678    8.192 1.0930e-07 1.1098e-07 2.0105e-07 0.0000e+00 
       01690    3.200 NaN NaN NaN NaN 
       03096    6.976 4.7151e-07 6.8020e-07 1.6213e-06 0.0000e+00 
       02693    0.188 8.1775e-09 5.6075e-09 4.3321e-08 3.6363e-08 
       03110   10.176 1.7030e-07 6.1706e-07 4.8934e-06 3.2912e-05 
       03405   67.392 2.3252e-07 3.0067e-07 1.9806e-06 1.5115e-05 
       07449    0.987 2.0111e-08 4.7224e-08 1.2762e-07 3.0762e-08 
       01051    0.320 6.6279e-09 9.3993e-09 2.2061e-08 3.7750e-08 
       03651 NaN NaN NaN NaN NaN 
       02495   38.080 1.2599e-07 2.9273e-07 1.5099e-06 2.4805e-06 
       03330   61.952 1.5182e-06 1.6962e-06 8.9963e-06 3.4649e-05 
       03871   44.096 3.7366e-07 5.4370e-07 1.2413e-06 3.6059e-06 
       03099   31.232 NaN NaN NaN NaN 
       07386   20.608 7.3033e-08 1.0105e-07 5.7091e-07 8.2588e-07 
       02461 NaN NaN NaN NaN NaN 
       01601   48.512 2.8466e-07 3.6273e-07 3.4398e-06 1.6682e-05 
       05649 NaN NaN NaN NaN NaN 
       01551   29.440 6.3241e-08 1.4195e-07 1.1184e-06 3.8217e-06 
       00981 NaN 6.5427e-08 1.1122e-07 1.3672e-07 0.0000e+00 
       02163    0.391 6.4537e-09 1.7620e-08 8.6550e-08 3.3112e-07 
       01518    1.088 6.1336e-08 5.7007e-08 4.6390e-07 7.3942e-07 
       03082 NaN NaN NaN NaN NaN 
       02280 NaN NaN NaN NaN NaN 
       03361 NaN NaN NaN NaN NaN 
       05574  119.808 1.1671e-06 1.0686e-06 3.0637e-06 1.6902e-06 
       02707 NaN NaN NaN NaN NaN 
       06417 NaN NaN NaN NaN NaN 
       03149 NaN NaN NaN NaN NaN 
